"","X","Report.Number","Agency.Name","Crash.Date.Time","Route.Type","Road.Name","Municipality","Weather","Surface.Condition","Light","Traffic.Control","Driver.Substance.Abuse","Collision.Type","Driver.Distracted.By","Vehicle.ID","Vehicle.Damage.Extent","Vehicle.Body.Type","Vehicle.Model","Vehicle.Movement","Speed.Limit","Parked.Vehicle","Equipment.Problems","Location","class"
"344",343,97,2,36,1,121,14,0,0,4,4,5,8,7,632,1,14,43,5,7,0,1,192,"0"
"348",347,466,1,535,1,38,14,0,0,4,4,5,13,6,736,5,20,35,18,8,0,1,402,"0"
"349",348,503,1,560,0,109,14,0,0,4,4,5,9,7,121,2,0,198,18,8,0,1,377,"0"
"350",349,73,2,531,1,50,14,2,4,4,1,5,13,7,421,2,14,33,8,7,0,1,260,"0"
"351",350,261,0,532,1,38,8,0,0,4,1,5,15,7,713,1,14,169,17,1,0,1,504,"0"
"352",351,483,1,530,1,100,14,1,4,4,4,5,15,7,425,1,14,144,6,9,0,1,208,"0"
"353",352,372,1,534,1,57,11,0,0,4,1,5,9,6,82,2,0,18,8,6,0,1,622,"0"
"354",353,408,1,518,1,121,14,1,4,4,3,5,1,7,855,2,14,55,18,7,0,1,142,"0"
"355",354,408,1,518,1,121,14,1,4,4,3,5,1,6,762,2,14,157,5,7,0,1,142,"0"
"356",355,413,1,529,1,104,8,1,4,4,4,5,9,7,881,1,14,5,18,7,0,1,458,"0"
"358",357,503,1,560,0,109,14,0,0,4,4,5,9,7,836,2,14,19,15,8,0,1,377,"0"
"359",358,600,1,523,2,62,14,0,0,4,1,5,4,7,316,2,20,33,8,5,0,1,310,"0"
"361",360,74,2,539,2,23,14,0,0,4,5,5,13,7,672,1,14,207,8,8,0,1,321,"0"
"362",361,413,1,529,1,104,8,1,4,4,4,5,9,9,45,1,14,200,15,7,0,1,458,"0"
"363",362,424,1,536,2,116,14,0,0,4,1,5,14,7,293,2,17,122,8,7,0,1,107,"0"
"364",363,73,2,531,1,50,14,2,4,4,1,5,13,7,593,1,15,207,18,7,0,1,260,"0"
"365",364,466,1,535,1,38,14,0,0,4,4,5,13,6,706,5,8,215,0,8,0,1,402,"0"
"366",365,600,1,523,2,62,14,0,0,4,1,5,4,7,678,2,14,140,7,5,0,1,310,"0"
"369",368,221,3,38,1,83,16,0,0,4,4,5,13,7,843,2,0,169,8,7,0,1,35,"0"
"371",370,52,2,543,2,94,14,0,0,4,4,5,7,6,279,3,14,5,5,5,0,1,362,"0"
"372",371,429,1,608,2,5,14,0,0,4,3,5,14,7,155,2,14,19,6,5,0,1,164,"0"
"374",373,297,0,545,1,38,8,0,0,4,1,5,15,7,263,2,14,25,8,6,0,1,505,"0"
"375",374,119,2,607,1,50,14,0,0,4,4,5,15,6,543,0,14,51,5,8,0,1,341,"0"
"376",375,433,1,488,1,133,15,0,0,4,4,5,7,9,809,3,15,94,5,6,0,1,4,"0"
"377",376,119,2,607,1,50,14,0,0,4,4,5,15,7,808,0,14,43,8,8,0,1,341,"0"
"378",377,183,2,544,1,126,14,0,0,4,3,5,15,7,215,1,14,49,0,5,0,1,234,"0"
"379",378,184,2,618,1,84,14,0,0,4,1,5,9,7,71,5,20,35,18,10,0,1,299,"0"
"385",384,241,0,100,2,9,8,0,0,1,1,1,7,7,665,1,0,75,8,5,0,1,502,"0"
"387",386,391,1,41,1,93,8,0,0,4,1,5,9,7,874,1,22,91,2,7,0,1,523,"0"
"390",389,311,0,593,0,33,8,0,0,1,1,5,15,7,412,5,14,207,8,5,0,1,369,"0"
"392",391,86,2,44,2,0,14,0,0,4,3,5,15,7,387,1,14,77,8,5,0,1,268,"0"
"393",392,302,0,110,0,78,8,1,0,3,1,5,9,7,481,1,0,70,18,9,0,1,363,"0"
"394",393,187,2,168,2,19,14,4,2,4,1,5,15,7,859,1,14,196,8,5,0,1,385,"0"
"395",394,43,2,154,2,122,14,0,0,1,3,5,15,7,4,5,2,55,5,5,0,1,194,"0"
"398",397,242,0,155,1,16,8,0,0,4,4,5,13,7,92,5,20,35,8,7,0,1,494,"0"
"400",399,120,2,54,2,134,14,0,0,4,4,5,9,7,833,5,14,219,15,5,0,1,136,"0"
"402",401,336,0,625,1,76,8,0,0,4,4,5,13,7,368,5,14,82,8,7,0,1,576,"0"
"404",403,594,1,611,0,20,14,0,0,4,1,5,9,7,337,2,14,51,15,7,0,1,291,"0"
"405",404,594,1,611,0,20,14,0,0,4,1,5,9,6,130,1,14,51,15,7,0,1,291,"0"
"406",405,134,2,565,2,118,14,0,0,4,1,5,15,7,96,1,14,99,5,7,0,1,87,"0"
"407",406,293,0,616,1,38,8,0,0,1,4,1,15,7,334,1,14,51,8,7,0,1,560,"0"
"408",407,160,2,617,1,121,14,0,0,4,4,5,7,7,301,5,0,179,18,8,0,1,182,"0"
"410",409,185,2,615,1,24,14,0,0,4,4,5,13,7,645,5,20,35,0,5,0,1,227,"0"
"411",410,258,0,622,1,93,8,0,0,4,4,5,15,7,786,1,15,94,5,8,0,1,427,"0"
"413",412,327,0,624,1,38,8,0,0,4,1,5,9,7,54,2,20,33,15,6,0,1,510,"0"
"415",414,84,2,570,1,127,14,0,0,4,4,5,9,7,577,2,14,219,15,8,0,1,290,"0"
"417",416,258,0,622,1,93,8,0,0,4,4,5,15,7,594,1,15,93,8,8,0,1,427,"0"
"418",417,607,1,296,1,84,14,2,4,2,1,5,14,7,783,1,14,43,8,10,0,1,309,"0"
"419",418,549,1,627,2,123,8,0,0,4,1,5,11,7,225,1,14,232,8,5,0,1,437,"0"
"427",426,467,1,49,1,100,14,0,0,4,4,5,2,6,339,5,14,198,6,8,0,1,94,"0"
"428",427,162,2,52,1,50,14,0,0,1,4,5,15,7,658,5,14,96,16,5,0,1,254,"0"
"429",428,78,2,62,1,100,14,0,0,4,1,5,9,7,655,2,12,33,18,8,0,1,97,"0"
"430",429,78,2,62,1,100,14,0,0,4,1,5,9,6,240,5,14,141,16,8,0,1,97,"0"
"432",431,484,1,60,0,77,14,2,4,4,4,5,9,7,885,5,14,19,18,9,0,1,82,"0"
"434",433,162,2,52,1,50,14,0,0,1,4,5,15,7,560,1,0,13,8,5,0,1,254,"0"
"435",434,162,2,52,1,50,14,0,0,1,4,5,15,7,541,1,14,13,8,6,0,1,254,"0"
"438",437,479,1,165,1,127,14,2,4,1,1,5,9,6,445,1,7,203,15,6,0,1,248,"0"
"439",438,479,1,165,1,127,14,2,4,1,1,5,9,7,488,2,15,54,18,6,0,1,248,"0"
"441",440,96,2,573,1,100,14,1,0,4,1,5,9,7,725,2,14,127,15,8,0,1,96,"0"
"442",441,531,1,621,0,77,14,0,0,4,2,5,9,7,803,2,14,98,15,7,0,1,73,"0"
"444",443,233,0,571,2,66,8,1,0,4,1,5,6,7,129,2,16,48,18,5,0,1,406,"0"
"447",446,531,1,621,0,77,14,0,0,4,2,5,9,6,823,1,14,51,8,7,0,1,73,"0"
"455",454,109,2,157,2,70,14,2,4,4,0,5,9,7,631,5,14,207,15,5,0,1,212,"0"
"457",456,109,2,157,2,70,14,2,4,4,0,5,9,7,701,5,14,207,18,5,0,1,212,"0"
"458",457,187,2,168,2,19,14,4,2,4,1,5,15,6,772,2,14,207,8,5,0,1,385,"0"
"461",460,170,2,378,1,127,14,0,0,4,1,5,12,7,835,2,0,116,8,9,0,1,273,"0"
"463",462,103,2,380,1,121,14,0,0,4,4,5,7,6,733,3,14,207,15,8,0,1,149,"0"
"465",464,170,2,378,1,127,14,0,0,4,1,5,12,1,858,1,14,71,6,9,0,1,273,"0"
"466",465,229,3,390,1,88,16,0,0,4,1,5,9,7,834,2,14,121,18,5,0,1,36,"0"
"467",466,156,2,379,1,127,14,1,4,5,4,5,6,6,360,1,14,81,0,6,0,1,101,"0"
"470",469,112,2,237,1,100,14,0,0,4,4,5,12,7,180,1,14,19,8,7,0,1,103,"0"
"471",470,39,2,519,2,14,14,0,0,1,4,5,9,7,120,5,14,19,6,5,0,1,89,"0"
"475",474,188,2,244,1,50,14,1,0,1,1,5,9,5,624,5,0,90,8,7,0,1,283,"0"
"478",477,268,0,569,1,38,8,1,0,4,1,5,15,6,14,1,14,30,5,6,0,1,539,"0"
"479",478,365,1,583,2,53,14,0,0,4,5,5,15,7,871,2,14,3,16,6,0,1,382,"0"
"480",479,11,2,597,1,121,14,0,0,4,4,5,7,7,526,1,14,168,8,6,0,1,153,"0"
"482",481,474,1,577,1,18,1,0,0,4,1,5,13,7,479,3,20,35,18,7,0,1,18,"0"
"483",482,451,1,581,2,35,8,0,0,4,3,5,15,7,901,1,14,43,8,5,0,1,517,"0"
"484",483,584,1,588,1,55,9,0,0,1,1,0,14,2,644,2,14,57,8,5,0,1,64,"0"
"487",486,135,2,595,2,134,14,0,0,4,1,5,15,7,410,1,14,160,5,8,0,1,626,"0"
"493",492,419,1,232,1,44,8,0,0,1,4,5,9,7,471,5,14,116,18,10,0,1,407,"0"
"496",495,373,1,56,1,18,3,0,0,4,3,5,15,7,722,5,14,154,16,5,0,1,31,"0"
"497",496,525,1,75,0,78,8,1,0,4,1,5,9,7,141,5,20,35,18,8,0,1,447,"0"
"498",497,453,1,53,1,38,8,0,0,4,2,5,9,7,793,2,14,105,15,6,0,1,528,"0"
"503",502,374,1,66,1,18,1,2,4,4,1,5,9,7,356,1,14,51,15,7,0,1,20,"0"
"504",503,373,1,56,1,18,3,0,0,4,3,5,15,7,730,5,14,7,15,6,0,1,31,"0"
"505",504,235,0,72,2,103,8,0,0,4,2,5,13,7,684,2,14,19,2,6,0,1,567,"0"
"507",506,494,1,67,2,40,8,1,0,4,2,5,9,7,5,5,22,150,18,7,0,1,527,"0"
"508",507,227,3,81,1,83,16,0,0,4,4,5,6,6,202,5,14,25,5,6,0,1,38,"0"
"509",508,99,2,87,2,87,14,0,0,1,3,5,4,6,363,5,14,198,5,3,0,1,265,"0"
"511",510,468,1,70,2,37,14,0,0,1,4,5,4,7,626,2,14,15,8,6,0,1,214,"0"
"512",511,370,1,65,1,16,8,2,4,4,4,5,15,7,164,1,14,43,8,7,0,1,554,"0"
"513",512,468,1,70,2,37,14,0,0,1,4,5,4,6,851,1,14,15,5,6,0,1,214,"0"
"514",513,227,3,81,1,83,16,0,0,4,4,5,6,6,261,5,14,51,6,7,0,1,38,"0"
"515",514,146,2,92,1,121,14,2,4,1,4,5,4,7,150,2,14,66,18,0,0,1,156,"0"
"518",517,517,1,85,1,57,11,0,0,4,1,5,15,7,569,1,14,26,8,8,0,1,621,"0"
"520",519,259,0,77,1,38,8,0,0,1,4,5,9,7,480,1,22,231,0,8,0,1,412,"0"
"523",522,370,1,65,1,16,8,2,4,4,4,5,15,6,214,1,14,43,8,7,0,1,554,"0"
"526",525,235,0,72,2,103,8,0,0,4,2,5,13,7,450,2,14,13,15,6,0,1,567,"0"
"527",526,517,1,85,1,57,11,0,0,4,1,5,15,7,43,1,14,62,5,8,0,1,621,"0"
"529",528,495,1,78,1,73,8,1,4,2,1,5,7,7,525,5,0,192,8,10,0,1,598,"0"
"531",530,586,1,69,1,38,14,0,0,4,4,5,4,7,377,1,18,35,8,8,0,1,399,"0"
"535",534,188,2,244,1,50,14,1,0,1,1,5,9,7,552,5,14,117,18,7,0,1,283,"0"
"537",536,415,1,229,1,38,14,1,0,4,4,5,7,7,239,2,20,33,18,9,0,1,351,"0"
"541",540,196,2,184,1,100,14,0,0,1,4,5,15,5,741,1,14,207,8,8,0,1,100,"0"
"542",541,520,1,158,1,76,8,2,4,1,4,5,15,7,774,1,14,230,8,7,0,1,582,"0"
"544",543,188,2,244,1,50,14,1,0,1,1,5,9,7,213,2,14,191,18,7,0,1,283,"0"
"546",545,520,1,158,1,76,8,2,4,1,4,5,15,7,674,2,14,158,8,7,0,1,582,"0"
"548",547,543,1,433,2,8,14,1,0,4,3,5,15,6,603,2,0,116,16,5,0,1,220,"0"
"551",550,270,0,98,1,124,8,0,0,1,1,5,13,7,712,2,14,132,8,7,0,1,484,"0"
"552",551,269,0,84,0,78,8,0,0,4,3,5,13,7,23,1,14,25,8,9,0,1,392,"0"
"554",553,303,0,61,1,38,8,2,4,4,1,5,9,6,564,5,0,207,0,6,0,1,553,"0"
"557",556,392,1,83,0,78,8,0,0,4,1,5,15,7,114,1,14,226,9,8,0,1,361,"0"
"558",557,271,0,135,1,104,8,0,0,1,4,5,9,7,776,2,14,211,18,6,0,1,453,"0"
"559",558,393,1,94,0,82,8,2,4,4,1,5,9,7,51,5,18,35,15,5,0,1,529,"0"
"560",559,328,0,99,1,104,8,2,4,4,4,5,9,6,192,1,8,2,15,7,0,1,439,"0"
"561",560,303,0,61,1,38,8,2,4,4,1,5,9,7,441,5,0,207,0,6,0,1,553,"0"
"562",561,186,2,141,1,100,14,0,0,4,4,5,9,7,273,5,14,135,18,8,0,1,138,"0"
"563",562,418,1,96,2,123,8,1,4,4,1,5,14,7,472,5,14,5,0,7,0,1,425,"0"
"565",564,195,2,140,1,50,14,0,0,4,1,5,7,7,254,2,5,222,15,1,0,1,311,"0"
"566",565,511,1,79,2,134,14,0,0,4,4,5,15,7,170,1,17,25,7,7,0,1,111,"0"
"567",566,511,1,79,2,134,14,0,0,4,4,5,15,7,226,1,14,51,8,7,0,1,111,"0"
"569",568,283,0,138,1,104,8,0,0,3,1,5,15,7,768,1,14,19,8,6,0,1,461,"0"
"570",569,163,2,97,1,38,14,0,4,1,4,5,4,7,201,1,0,169,8,7,0,1,360,"0"
"572",571,394,1,137,1,124,8,1,0,4,1,5,9,7,61,5,17,202,15,7,0,1,480,"0"
"573",572,392,1,83,0,78,8,0,0,4,1,5,15,7,477,1,14,72,8,8,0,1,361,"0"
"575",574,269,0,84,0,78,8,0,0,4,3,5,13,6,48,1,14,40,5,8,0,1,392,"0"
"576",575,164,2,113,2,60,14,0,0,4,1,5,7,7,396,2,22,188,8,5,0,1,140,"0"
"578",577,394,1,137,1,124,8,1,0,4,1,5,9,7,582,5,14,81,15,7,0,1,480,"0"
"579",578,251,0,95,1,38,8,1,4,4,1,5,7,7,391,2,14,154,6,7,0,1,569,"0"
"581",580,271,0,135,1,104,8,0,0,1,4,5,9,7,227,1,14,205,18,6,0,1,453,"0"
"582",581,42,2,114,0,77,14,1,0,1,4,5,9,7,131,1,14,55,15,8,0,1,76,"0"
"583",582,163,2,97,1,38,14,0,4,1,4,5,4,7,767,1,14,19,5,7,0,1,360,"0"
"587",586,110,2,175,1,50,14,0,0,1,4,5,4,7,642,1,14,215,8,5,0,1,252,"0"
"589",588,566,1,180,1,18,10,0,0,4,3,5,0,7,879,1,5,215,8,7,0,1,51,"0"
"592",591,12,2,170,1,100,14,0,0,1,1,5,7,7,791,2,14,15,18,8,0,1,226,"0"
"594",593,565,1,173,1,18,1,0,0,4,4,5,13,7,608,2,20,35,18,7,0,1,14,"0"
"595",594,415,1,229,1,38,14,1,0,4,4,5,7,7,13,2,14,19,8,9,0,1,351,"0"
"597",596,460,1,231,1,124,8,0,0,4,4,5,8,7,758,3,21,217,5,7,0,1,474,"0"
"602",601,44,2,188,1,100,14,1,0,4,4,5,7,7,90,3,20,47,8,5,0,1,91,"0"
"2",1,432,1,336,0,77,14,0,0,4,4,5,15,7,235,2,14,7,5,7,0,1,74,"1"
"11",10,192,2,291,1,100,14,1,0,4,1,5,6,7,403,1,14,184,8,8,0,1,176,"1"
"38",37,591,1,342,1,18,10,0,0,4,4,5,15,6,789,1,0,172,8,8,0,1,65,"1"
"39",38,524,1,416,1,127,14,0,0,4,4,5,4,7,418,1,14,192,16,8,0,1,331,"1"
"43",42,5,2,419,1,38,14,0,0,4,1,5,7,7,792,1,14,15,8,8,0,1,358,"1"
"52",51,325,0,332,2,9,8,1,4,4,3,5,9,7,282,5,19,199,18,7,0,1,503,"1"
"54",53,591,1,342,1,18,10,0,0,4,4,5,15,7,80,1,0,169,8,8,0,1,65,"1"
"59",58,369,1,415,1,16,8,0,0,4,4,5,4,7,618,1,14,19,5,7,0,1,495,"1"
"67",66,516,1,211,2,85,8,2,4,4,4,5,15,7,523,1,14,198,16,6,0,1,565,"1"
"82",81,145,2,550,2,91,14,0,0,1,4,5,4,7,784,1,14,51,8,6,0,1,169,"1"
"88",87,438,1,555,0,109,14,0,0,4,4,5,4,6,824,1,14,58,5,8,0,1,347,"1"
"102",101,90,2,361,1,34,14,0,0,4,1,5,9,9,209,0,14,19,8,6,0,1,223,"1"
"108",107,592,1,411,1,120,10,0,0,4,1,5,9,7,680,1,0,19,15,8,0,1,66,"1"
"111",110,144,2,363,0,77,14,0,0,1,4,3,9,7,257,1,14,233,0,6,0,1,79,"1"
"117",116,90,2,361,1,34,14,0,0,4,1,5,9,7,274,1,14,199,15,7,0,1,223,"1"
"136",135,257,0,505,1,124,8,0,0,4,4,5,4,7,571,1,14,185,5,6,0,1,479,"1"
"139",138,309,0,334,1,38,8,0,0,1,1,5,7,7,197,5,14,169,8,7,0,1,612,"1"
"187",186,265,0,414,1,38,8,0,0,4,4,5,15,6,434,1,14,43,5,8,0,1,608,"1"
"203",202,510,1,201,2,107,8,0,0,1,1,5,15,7,640,5,14,25,8,7,0,1,506,"1"
"208",207,331,0,205,2,22,8,2,4,4,4,5,7,9,200,2,14,134,15,5,0,1,487,"1"
"226",225,454,1,200,1,44,8,0,0,4,1,5,9,7,757,3,14,99,0,9,0,1,408,"1"
"227",226,571,1,32,1,124,8,0,0,1,4,5,13,7,513,5,14,42,5,7,0,1,466,"1"
"236",235,70,2,432,1,100,14,0,0,4,4,5,15,7,800,1,14,172,16,8,0,1,122,"1"
"240",239,94,2,438,1,121,14,0,0,4,1,5,9,7,33,2,14,207,15,7,0,1,180,"1"
"242",241,301,0,106,2,82,8,1,0,4,4,5,15,7,304,1,14,55,8,5,0,1,489,"1"
"243",242,154,2,427,1,121,14,2,4,4,1,5,15,6,25,0,14,5,5,7,0,1,203,"1"
"251",250,220,3,89,1,83,16,1,0,4,4,5,15,7,357,2,22,91,5,7,0,1,23,"1"
"282",281,53,2,215,1,100,14,0,4,4,1,5,15,7,285,1,14,43,8,8,0,1,129,"1"
"308",307,182,2,468,1,84,14,0,0,4,3,5,15,6,346,1,14,25,6,10,0,1,267,"1"
"310",309,256,0,461,2,56,8,0,0,4,4,5,9,7,18,5,14,62,15,5,0,1,570,"1"
"311",310,465,1,464,1,38,14,0,0,4,1,5,9,7,597,5,14,138,18,8,0,1,378,"1"
"318",317,563,1,447,1,44,8,0,0,4,4,5,4,7,598,0,14,19,8,10,0,1,405,"1"
"319",318,430,1,471,1,36,13,0,0,4,1,5,14,7,708,1,14,50,8,6,0,1,455,"1"
"327",326,423,1,557,1,50,14,0,0,4,4,5,4,7,550,1,14,51,7,7,0,1,320,"1"
"329",328,518,1,526,1,38,8,2,4,1,1,5,4,7,350,2,14,216,8,7,0,1,545,"1"
"336",335,426,1,37,1,124,8,1,0,4,3,5,15,7,328,1,14,98,8,6,0,1,469,"1"
"347",346,60,2,42,1,100,14,0,0,4,4,5,15,5,300,0,0,62,5,8,0,1,148,"1"
"357",356,408,1,518,1,121,14,1,4,4,3,5,1,7,850,1,14,55,8,7,0,1,142,"1"
"368",367,503,1,560,0,109,14,0,0,4,4,5,9,7,208,1,14,19,18,8,0,1,377,"1"
"397",396,101,2,164,1,84,14,0,0,2,1,5,9,7,748,0,14,19,8,10,0,1,277,"1"
"416",415,84,2,570,1,127,14,0,0,4,4,5,9,7,650,2,14,219,18,8,0,1,290,"1"
"420",419,134,2,565,2,118,14,0,0,4,1,5,15,7,91,1,14,19,8,7,0,1,87,"1"
"426",425,69,2,55,2,96,14,0,0,1,0,5,4,6,404,1,14,179,8,7,0,1,336,"1"
"474",473,519,1,589,1,76,8,0,0,1,4,5,4,7,243,1,14,98,8,7,0,1,588,"1"
"481",480,268,0,569,1,38,8,1,0,4,1,5,15,7,869,2,14,207,8,6,0,1,539,"1"
"485",484,135,2,595,2,134,14,0,0,4,1,5,15,7,344,1,14,2,8,8,0,1,626,"1"
"492",491,442,1,234,2,108,14,0,0,4,4,5,15,7,600,2,14,169,18,7,0,1,113,"1"
"502",501,442,1,234,2,108,14,0,0,4,4,5,15,6,778,2,13,74,6,7,0,1,113,"1"
"522",521,538,1,620,1,93,8,0,0,4,4,5,4,7,394,0,14,39,8,7,0,1,449,"1"
"533",532,259,0,77,1,38,8,0,0,1,4,5,9,7,866,1,0,207,0,8,0,1,412,"1"
"534",533,586,1,69,1,38,14,0,0,4,4,5,4,6,132,0,14,138,0,8,0,1,399,"1"
"539",538,32,2,172,0,109,14,0,0,4,4,5,15,7,457,1,14,55,0,8,0,1,327,"1"
"549",548,579,1,166,2,103,8,2,4,1,1,5,15,7,175,1,14,9,8,5,0,1,601,"1"
"598",597,199,2,240,1,38,14,0,0,4,4,5,4,5,66,1,14,19,5,7,0,1,359,"1"
